timestamp,rules,expected_alerts,actual_alerts,missed,duplicates,accuracy_pct,result
2026-05-05T18:08:52+01:00,100,177,177,0,0,100.0,PASS
2026-05-05T18:09:06+01:00,500,986,986,0,0,100.0,PASS
2026-05-05T18:09:12+01:00,1000,2035,2035,0,0,100.0,PASS
2026-05-05T18:09:17+01:00,2500,5264,5264,0,0,100.0,PASS
2026-05-05T18:09:26+01:00,5000,10640,10640,0,0,100.0,PASS
2026-05-05T18:18:17+01:00,50000,105911,105911,0,0,100.0,PASS
2026-05-05T18:23:25+01:00,100000,212716,212716,0,0,100.0,PASS
2026-05-05T18:28:43+01:00,200000,425125,425125,0,0,100.0,PASS
2026-05-05T20:25:53+01:00,5000,10674,10674,0,0,100.0,PASS
